Classe,Número do RIP,Id. Utilização,Data de cadastramento,UF,Município,Endereço,Bairro,Conceituação,Tipo Imóvel,Regime de Utilização,Proprietário Oficial,Data do Início da Utilização,Área do Terreno Total,Área da União,lat,lng,format_address
IMOVEL FUNCIONAL,2531010855001,2531010865007.0,25-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 101 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 101 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531010875002,2531010885008.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 102 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 102 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531010895003,2531010905009.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 201 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 201 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531010915004,2531010925000.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 202 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 202 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531010935005,2531010945000.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 301 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 301 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531010955006,2531010965001.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 302 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 302 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531010975007,2531010985002.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 401 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 401 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531010995008,2531011005001.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 402 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 402 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531011015007,2531011025002.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 501 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 501 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531011035008,2531011045003.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 502 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 502 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531011055009,2531011065004.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 601 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 601 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531011075000,2531011085005.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 602 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 602 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531011095000,2531011105006.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 701 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 701 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,2531011115001,2531011125007.0,26-11-2020,PE,RECIFE,R JOSE MARIA DE MIRANDA 177 APARTAMENTO 702 - ED. FRANCISCO BARRETO DE MENEZES CEP: 51111250,BOA VIAGEM,ACRESCIDO DE MARINHA,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.644,89","       1.644,89",-8.108503299999999,-34.8937527,"R. José Maria de Miranda, 177 - 702 - Boa Viagem, Recife - PE, 51111-250, Brazil"
IMOVEL FUNCIONAL,9701159075000,9701077675004.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 710 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701159235008,9701077685000.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 711 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701159255009,9701077665009.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 709 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701159265004,9701077645008.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 707 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701159275000,9701038015007.0,21-12-2001,DF,BRASILIA,Q SQS 213 BLOCO C 601 APARTAMENTO CEP: 70292030,ASA SUL,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.067,00","       1.067,00",-15.8291852,-47.9150189,"Asa Sul Superquadra Sul 213 - Asa Sul, Brasília - DF, 70292-000, Brazil"
IMOVEL FUNCIONAL,9701159285005,9701038185000.0,21-12-2001,DF,BRASILIA,Q SQS 415 BLOCO D 413 APARTAMENTO CEP: 70298040,ASA SUL,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         522,50","         522,50",-15.8362324,-47.9192311,"Asa Sul Superquadra Sul 415 BL D - Asa Sul, Brasília - DF, 70298-000, Brazil"
IMOVEL FUNCIONAL,9701159315001,9701077655003.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 708 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701159425001,9701077635002.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 706 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701159555002,9701077615001.0,21-12-2001,DF,BRASILIA,Q CSB 10 BLOCO A B LOTE 08 612 BLOCO B CEP: 72015963,TAGUATINGA SUL TAGUA,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"       1.600,00","       1.600,00",-15.8423604,-48.0510192,"St. B Sul CSB 10 - Taguatinga, Brasília - DF, 72015-605, Brazil"
IMOVEL FUNCIONAL,9701159615005,9701153275008.0,21-12-2001,DF,BRASILIA,"Q SHCES QUADRA 703 BLOCO J 703 BLOCO J,  APTO 106 CEP: 70655740",CRUZEIRO NOVO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7970541,-47.9396746,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-740, Brazil"
IMOVEL FUNCIONAL,9701159635006,9701153285003.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO J,  APTO 101 CEP: 70655740",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7970541,-47.9396746,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-740, Brazil"
IMOVEL FUNCIONAL,9701160035009,9701028405007.0,21-12-2001,DF,BRASILIA,Q QUADRA SHCE/SUL 905 BLOCO B AP 101 CEP: 70650000,CRUZEIRO NOVO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,24","         392,24",-15.7955956,-47.9391371,"Cruzeiro Novo, Brasília - DF, 70297-400, Brazil"
IMOVEL FUNCIONAL,9701160055000,9701153225000.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO J,  APTO 303 CEP: 70655740",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.8016108,-47.8967057,"SHIGS St. de Habitações Individuais Geminadas Sul 703 BL J - Brasília, DF, 70331-700, Brazil"
IMOVEL FUNCIONAL,9701160065005,9701153235006.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO J,  APTO 302 CEP: 70655740",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7970541,-47.9396746,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-740, Brazil"
IMOVEL FUNCIONAL,9701160075000,9701153245001.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO J,  APTO 206 CEP: 70655740",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.8016108,-47.8967057,"SHIGS St. de Habitações Individuais Geminadas Sul 703 BL J - Brasília, DF, 70331-700, Brazil"
IMOVEL FUNCIONAL,9701160085006,9701153255007.0,21-12-2001,DF,BRASILIA,"Q SHCES/SUL 703 BLOCO J,  APTO 204 CEP: 70655740",CRUZEIRO,NACIONAL INTERIOR,APARTAMENTO,Imóvel Funcional,União (Adm. Pub. Fed. direta),,"         392,00","         392,00",-15.7970541,-47.9396746,"Cruzeiro / Sudoeste / Octogonal, Brasília - DF, 70655-740, Brazil"
