Classe,Número do RIP,Id. Utilização,Data de cadastramento,UF,Município,Endereço,Bairro,Conceituação,Tipo Imóvel,Regime de Utilização,Proprietário Oficial,Data do Início da Utilização,Área do Terreno Total,Área da União,lat,lng,format_address
IMOVEL FUNCIONAL,1000745004,1000375002.0,21-12-2001,RO,GUAJARA-MIRIM,AV COSTA MARQUES 465 ALOJAMENTO - DA UA/G.MIRIM CEP: 78957000,CENTRO,NACIONAL INTERIOR,RESIDÊNCIA,Imóvel Funcional,Fundação ou Autarquia (Adm. Pub. Fed. indireta),,"       1.000,00","       1.000,00",-10.7893665,-65.3458006,"Av. Costa Marquês, 465 - St. 01, Guajará-Mirim - RO, 76850-000, Brazil"
IMOVEL FUNCIONAL,1215001745006,1215001845000.0,21-12-2001,PI,SIMPLICIO MENDES,R PROJETO SERTANEJO DE SIMPLICIO MENDES 00480 RUA JOSÉ DE MOURA FÉ CEP: 64700000,CENTRO,NACIONAL INTERIOR,RESIDÊNCIA,Imóvel Funcional,Fundação ou Autarquia (Adm. Pub. Fed. indireta),,"         840,00","         840,00",-7.861081500000001,-41.9062247,"R. Jose do Moura Fe, Simplício Mendes - PI, 64700-000, Brazil"
IMOVEL FUNCIONAL,1287000125001,1287000135007.0,12-12-2017,MA,ZE DOCA,R OSVALDO CRUZ 85  CEP: 65365000,CENTRO,NACIONAL INTERIOR,CASA,Imóvel Funcional,Fundação ou Autarquia (Adm. Pub. Fed. indireta),,"         295,87","         295,87",-3.2329855,-46.1326778,"Zé Doca - State of Maranhão, 65365-000, Brazil"
IMOVEL FUNCIONAL,1287000145002,1287000155008.0,13-12-2017,MA,ZE DOCA,R OSVALDO CRUZ 95  CEP: 65365000,CENTRO,NACIONAL INTERIOR,CASA,Imóvel Funcional,Fundação ou Autarquia (Adm. Pub. Fed. indireta),,"         295,87","         295,87",-3.2329855,-46.1326778,"Zé Doca - State of Maranhão, 65365-000, Brazil"
IMOVEL FUNCIONAL,1287000165003,1287000175009.0,13-12-2017,MA,ZE DOCA,R OSVALDO CRUZ 108  CEP: 65365000,CENTRO,NACIONAL INTERIOR,CASA,Imóvel Funcional,Fundação ou Autarquia (Adm. Pub. Fed. indireta),,"         295,87","         295,87",-3.2329855,-46.1326778,"Zé Doca - State of Maranhão, 65365-000, Brazil"
IMOVEL FUNCIONAL,1385000505009,1385000515004.0,16-12-2016,CE,CRATO,ROD CE 292 S/N KM 15 - SITIO ALMECEGAS CEP: 63115500,GISELIA PINHEIRO,NACIONAL INTERIOR,CASA,Imóvel Funcional,Fundação ou Autarquia (Adm. Pub. Fed. indireta),,"         260,00","         260,00",-7.0765913,-39.8458194,"CE-292, Ceará, Brazil"
IMOVEL FUNCIONAL,1385000565001,1385000575007.0,16-12-2016,CE,CRATO,ROD CE 292 S/N KM 15 - SITIO ALMECEGAS CEP: 63115500,GISELIA PINHEIRO,NACIONAL INTERIOR,RESIDÊNCIA,Imóvel Funcional,Fundação ou Autarquia (Adm. Pub. Fed. indireta),,"          83,00","          83,00",-7.0765913,-39.8458194,"CE-292, Ceará, Brazil"
IMOVEL FUNCIONAL,139002005001,139004795000.0,21-12-2001,AC,RIO BRANCO,R SANTA INES 175 CONJ ELETRA CEP: 69900878,AVIARIO,NACIONAL INTERIOR,CASA,Imóvel Funcional,Fundação ou Autarquia (Adm. Pub. Fed. indireta),,"         437,99","         437,99",-9.957952899999999,-67.8105461,"R. Santa Ines, 175, Rio Branco - AC, 69907-668, Brazil"
IMOVEL FUNCIONAL,139002295000,139004805005.0,21-12-2001,AC,RIO BRANCO,R SANTA INES 107 CONJ ELETRA CEP: 69900878,AVIARIO,NACIONAL INTERIOR,CASA,Imóvel Funcional,Fundação ou Autarquia (Adm. Pub. Fed. indireta),,"         550,52","         550,52",-9.958046999999999,-67.8105168,"R. Santa Ines, 107, Rio Branco - AC, 69907-668, Brazil"
IMOVEL FUNCIONAL,139002305005,139004815000.0,21-12-2001,AC,RIO BRANCO,R SANTA INES 127 CONJ ELETRA CEP: 69900878,AVIARIO,NACIONAL INTERIOR,CASA,Imóvel Funcional,Fundação ou Autarquia (Adm. Pub. Fed. indireta),,"         523,80","         523,80",-9.9579614,-67.8105434,"R. Santa Ines, 127, Rio Branco - AC, 69907-668, Brazil"
